config_id,simulation_type,num_of_agents,num_iterations,mio,mio_sigma,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
5832a90d-540e-4d30-815f-819049211f4f,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,0.0,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
827bc68e-0b32-4375-8bd5-afd8ac50772d,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,0.344828,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
12ca8178-ee29-4596-85d2-918b65b61ee0,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,0.689655,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
386cf6a0-008d-4a83-b931-529944df74d0,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,1.034483,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
c69dbe3b-f731-4d36-a3ad-a3c9e27922e1,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,1.37931,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
3db38a35-6627-4646-bd32-1152e356eff9,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,1.724138,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
4e6f46a2-4957-4598-bc6c-aa0df2130189,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,2.068966,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
543ba8ba-0286-45d9-bf1e-9cf811f58424,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,2.413793,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
09cccb5e-1548-4fac-8261-2dcb432c93ac,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,2.758621,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
e9bcdca1-d992-488f-9ac9-a95686e6ff1d,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,3.103448,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
8fb8f047-a798-4583-85eb-167f7a30eda5,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,3.448276,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
b9fc53e3-6ac7-4fc4-9fd4-1025aaa31ed7,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,3.793103,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
4f58388e-8e06-41e0-afbe-32f7c08b5fef,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,4.137931,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
66440b76-09a1-4159-be83-5c9765f101f7,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,4.482759,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
876cdd2e-3160-4425-9380-ad54abb4bb0e,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,4.827586,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
6471a241-35d8-46a8-9420-4d9e38e7c00d,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,5.172414,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
abc43adc-07e2-4431-8a7c-d132d202c126,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,5.517241,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
59b8a386-5dc1-4663-874b-074e141f394b,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,5.862069,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
3000d58c-006a-402e-9056-74cba6612e10,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,6.206897,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
b4908314-4bdc-4df1-94b3-f06d43fc34a3,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,6.551724,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
4a9305e4-bee7-4769-8b7a-9f2c6941767b,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,6.896552,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
bf5fcf77-2d3c-4f74-8d62-05c591fce223,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,7.241379,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
0e335c3f-5961-4702-8df5-f3ad7cbf2201,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,7.586207,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
237e9da2-d35a-4203-ab47-1a6c04f34212,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,7.931034,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
04ca3660-dba8-43c1-b39a-5df92ee24a63,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,8.275862,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
62da5b46-a380-4f7f-9df1-6cefa6acfd26,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,8.62069,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
d8471bae-007d-4acd-8115-bcc86275078f,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,8.965517,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
3cf92477-4f0f-417f-8078-7d492ec2f0fc,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,9.310345,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1680971902512,250.0
