experiment_id,measurement_type,x,value,sample_std
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,1.0,0.9785454466183828,0.0123602313965948
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,249.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,499.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,749.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,999.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,1249.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,1499.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,1749.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,1999.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,2249.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,2499.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,2749.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,2999.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,3249.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,3499.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,3749.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,3999.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,4249.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,4499.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,4749.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,4999.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,5249.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,5499.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,5749.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,5999.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,6249.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,6499.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,6749.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,6999.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,7249.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,7499.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,7749.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,7999.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,8249.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,8499.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,8749.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,8999.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,9249.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,9499.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,9749.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,SPREAD,9999.0,0.9998,1.124366563280595e-16
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,DISPERSION,1.0,0.0821485444082646,0.0066288041058978
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,DISPERSION,249.0,0.1110343098215269,0.0192429625193153
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,DISPERSION,499.0,0.1458610922397946,0.0291666785648653
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,DISPERSION,749.0,0.1895948468507541,0.0310123583418693
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,DISPERSION,999.0,0.2237659253354353,0.021915143201178
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,DISPERSION,1249.0,0.2383763725422968,0.0143489631720944
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,DISPERSION,1499.0,0.242443264173173,0.0095391435271717
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,DISPERSION,1749.0,0.2433684875015573,0.0082464400980198
c1cef6e8-8b25-4106-a6c6-3f2eab55ad49,DISPERSION,1999.0,0.243519859814668,0.0080844637728342
