experiment_id,measurement_type,x,value,sample_std
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,1.0,0.9784899731805276,0.0154097951485814
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,249.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,499.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,749.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,999.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,1249.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,1499.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,1749.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,1999.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,2249.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,2499.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,2749.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,2999.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,3249.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,3499.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,3749.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,3999.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,4249.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,4499.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,4749.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,4999.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,5249.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,5499.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,5749.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,5999.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,6249.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,6499.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,6749.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,6999.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,7249.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,7499.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,7749.0,0.9998,1.124366563280595e-16
5476eb6e-87e2-446a-b7f3-8bd9b0063a7e,SPREAD,7999.0,0.9998,1.124366563280595e-16
